model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
InstaDeepAI/NTv3_100M_pre_8kb,-20.36814,24.26976,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,-19.555807,19.439615,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,-20.261953,28.1906,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,-21.335648,28.866707,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/agro-nucleotide-transformer-1b,-21.515299,2.0478606,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,-3.7568336,-15.765928,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,4.2479863,-22.385214,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,2.5650918,-21.89587,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,-3.8260005,-16.663813,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,1.606225,-23.039856,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p8_ee24_lr50_euc,8,24,50,euclidean,pca
