model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
genbio-ai/AIDO.DNA-7B,-10.972756,16.069155,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8955860595416295,p10_ee24_cosine,10,24,auto,cosine,pca
genbio-ai/AIDO.DNA-300M,-9.480271,13.930388,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8969643969999578,p10_ee24_cosine,10,24,auto,cosine,pca
Mishamq/HybriDNA-300M,12.890417,-2.6648722,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8287939984167011,p10_ee24_cosine,10,24,auto,cosine,pca
Mishamq/HybriDNA-3B,12.159848,-9.13026,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8946934034815327,p10_ee24_cosine,10,24,auto,cosine,pca
Mishamq/HybriDNA-7B,11.3357315,-4.011825,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8429952129330213,p10_ee24_cosine,10,24,auto,cosine,pca
living-models/Botanic0-L,-15.246488,5.3477817,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8817735814987914,p10_ee24_cosine,10,24,auto,cosine,pca
living-models/Botanic0-M,-14.610497,5.0283055,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8888156475711413,p10_ee24_cosine,10,24,auto,cosine,pca
living-models/Botanic0-S,-13.514293,5.740433,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8922605273901404,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-17M-goat-5races,16.176088,-6.064788,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7151140407337319,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-17M-cow-5races,15.881797,-5.4365845,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7295038417692249,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-17M-pig-13races,15.056153,-5.6811347,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7560749499657892,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-hg38,16.552412,-4.3722496,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6522743549122137,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-17M-hg38,17.991411,-9.759928,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8120933659253847,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-1M-hg38,16.525343,-11.242119,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7652417340533012,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-lncRNA,15.305343,-6.483196,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7336237875938862,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-417M-Athaliana,18.934322,-3.149678,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6657346162922085,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-virus,13.164585,-5.02413,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.5944237064486142,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-noncoding,-11.367698,12.410384,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8069298647587365,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteriophage,13.589045,-4.6367106,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6028566584580207,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-plasmid,12.867669,-6.240121,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6587029529951741,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-yeast,17.931423,-3.0441937,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7072246572524645,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteria,11.470706,-7.215745,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7144042532624235,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/Mistral-DNA-v1-422M-hg38,12.091303,2.1821647,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8506983197541412,p10_ee24_cosine,10,24,auto,cosine,pca
RaphaelMourad/ModernBERT-DNA-v1-117M-Athaliana,17.491892,-3.8057306,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6632138434294502,p10_ee24_cosine,10,24,auto,cosine,pca
