model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,1.3441098,3.5707982,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre,2.0568786,27.6434,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre,-1.527985,22.946604,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre,-1.0066664,23.704784,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre_8kb,2.9934056,28.312046,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre_8kb,1.5995744,26.681095,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,-0.40722388,23.127384,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,2.333141,29.582647,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,3.099942,29.918457,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/agro-nucleotide-transformer-1b,12.17238,10.713608,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,4.0058365,-12.499063,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p8_ee36_auto_euc,8,36,auto,euclidean,pca
